
24.2.2015 - 9:14 -]alw[-#fff000MoshPit killed [DoN]Granderski_Do$ for: block
24.2.2015 - 17:49 [SGA]DOOZY#736AFFJude killed [uDka]#FF0000ZILINS for: ff
24.2.2015 - 17:55 [SGA]DOOZY#736AFFJude killed [uDka]#FF0000ZILINS for: revange
25.2.2015 - 14:46 [SiK]PauerfC_Cl killed #FF6347Bulat_Bulka for: idiot
26.2.2015 - 2:41 -]alw[-#fff000MoshPit killed Roba#ff0000(*#00dd00DZ for: blocking
26.2.2015 - 16:16 [SGA]Jack123 killed CHAD for: block
26.2.2015 - 17:40 [SiK]PauerfC_Cl killed #aae6b5civic for: press b
26.2.2015 - 18:5 [SGA]Jack123 killed WTF for: idiot
27.2.2015 - 13:46 [SGA]Jack123 killed #ff0000_Ma#0000ffKs_ for: idiot
27.2.2015 - 14:6 [SiK]PauerfC_Cl killed [uDka]#03ffA0Flomaster for: blcoker
27.2.2015 - 16:12 [SGA]Jack123 killed [PRO]kapi334 for: fag
27.2.2015 - 18:28 [SGA]Jack123 killed [DotsFam]pizzde for: idiot
2.3.2015 - 20:25 [SGA]Jack123 killed 7fold for: block
2.3.2015 - 20:26 [SGA]Jack123 killed 7fold for: idiot
